asset,rows_total,rows_train,rows_test,ema1_period,ema2_period,ema3_period,train_sharpe,train_total_return,train_annualized_return,train_max_drawdown,train_trades,train_annualized_turnover,train_annual_costs,test_trades,test_annualized_turnover,test_annual_costs,subtrain_sharpe,val_sharpe,selection_score,view_q
krususd,774,464,310,37,173,139,2.8118781543859037,1.892925242761324,0.7805485913846146,-0.11517747443860511,5,5.974137931034483,0.005974137931034485,2,3.2516129032258063,0.0032516129032258063,2.066459959345833,1.1952496231045382,0.7596444549838908,0.7805485913846146
manhususd,468,280,188,10,158,115,2.7971920211584265,0.8342494839125747,0.7262852707274048,-0.12077720824889734,4,8.1,0.008100000000000001,3,8.042553191489361,0.008042553191489362,2.4044038015790425,6.017992426268212,4.211198113923627,0.7262852707274048
dhrususd,425,255,170,4,101,100,2.3217174471141133,1.6622997823226102,1.6318063692845555,-0.20012677865447742,4,7.905882352941177,0.007905882352941178,4,11.858823529411763,0.011858823529411764,3.7161484226651367,2.703545456003041,2.1972439726719935,1.6318063692845555
nhynonok,545,327,218,4,83,190,2.2942831892392657,1.8328724484039656,1.2310290586044257,-0.16011730205278588,3,5.394495412844036,0.005394495412844037,4,10.403669724770642,0.010403669724770644,1.5165802035334182,3.1628188845040923,2.3396995440187554,1.2310290586044257
acfreur,430,258,172,4,104,130,2.2690243201899096,0.5528254168410542,0.5370143374750527,-0.06690533697877717,5,10.74418604651163,0.010744186046511632,2,7.325581395348837,0.007325581395348837,1.0978153911887543,5.811842843834105,3.4548291175114296,0.5370143374750527
zbhususd,561,336,225,22,125,124,2.201193704419471,0.7519332357282962,0.5227835046919866,-0.1382751794658319,2,3.0,0.003,1,3.36,0.0033599999999999997,2.7483425447093053,0.5458992657495277,-0.5553223737303611,0.5227835046919866
usdtry,454,272,182,7,158,169,2.133564352661176,0.41759065808841855,0.38167976801873915,-0.04888057449761619,2,4.632352941176471,0.004632352941176471,0,1.3846153846153846,0.0013846153846153847,2.9843937024913894,-0.18457071419178736,-1.7690529225333758,0.38167976801873915
tjxususd,403,241,162,4,149,130,2.0228338362024436,0.43517943769865,0.45904234843801994,-0.14194907695297324,4,9.410788381742739,0.00941078838174274,4,12.444444444444443,0.012444444444444444,1.8442757003619328,4.259969178509513,3.0521224394357227,0.45904234843801994
wklnleur,981,588,393,4,98,121,1.9754776930969848,2.035436746557021,0.6094082496461881,-0.13768700827524363,4,3.8571428571428568,0.003857142857142857,3,3.8473282442748094,0.0038473282442748093,1.7036069457554972,1.4374617237293514,1.3043891127162786,0.6094082496461881
tprususd,693,415,278,16,116,166,1.9001122320629646,1.4196103764081647,0.7100992888548643,-0.2873888786025808,3,4.250602409638555,0.004250602409638555,1,2.7194244604316546,0.0027194244604316544,0.6316387531575517,8.153193566218203,4.392416159687878,0.7100992888548643
maususd,768,460,308,4,158,124,1.8175011414571303,2.0472491348477586,0.8411849043015323,-0.20755490003277619,3,3.8347826086956522,0.003834782608695652,5,9.0,0.009000000000000001,1.9052143043692285,1.9147501910243043,1.9099822476967665,0.8411849043015323
lplaususd,457,274,183,7,146,139,1.7787641871893676,0.6245393480659727,0.5624649687150689,-0.13694920902474103,2,4.598540145985401,0.004598540145985402,3,8.262295081967213,0.008262295081967214,0.6749246466753442,4.210942464619788,2.442933555647566,0.5624649687150689
amatususd,521,312,209,4,80,190,1.770097725371062,1.5985135944826139,1.162570063977387,-0.3243450925602518,3,5.653846153846153,0.005653846153846153,5,12.057416267942584,0.012057416267942586,2.11591335559186,0.2987489418572016,-0.6098332650101276,1.162570063977387
metususd,608,364,244,4,191,169,1.6879225478229343,1.1241901832867467,0.6846842121535239,-0.2218114401549246,3,4.846153846153846,0.004846153846153846,1,3.098360655737705,0.003098360655737705,1.247619066383314,2.192273177495213,1.7199461219392633,0.6846842121535239
tdyususd,634,380,254,25,182,181,1.5724973778484035,0.28790207879586016,0.18268659836273526,-0.07210766038351214,4,5.968421052631579,0.0059684210526315794,0,0.9921259842519685,0.0009921259842519685,2.1496013765789868,-0.013018674680742416,-1.094328700310607,0.18268659836273526
usdpln,446,267,179,4,80,136,1.5276493366987445,0.2974292908969016,0.2785881693093193,-0.0933591689588884,3,6.606741573033708,0.006606741573033708,2,5.631284916201117,0.005631284916201117,0.9410179313627942,2.3476648201566546,1.6443413757597245,0.2785881693093193
abtususd,797,478,319,13,161,154,1.465762471370522,0.7895482623312251,0.35908144286900967,-0.16213736956770944,3,3.690376569037657,0.0036903765690376573,2,3.1598746081504703,0.0031598746081504705,2.0093054474643153,0.443818213730236,-0.33892540313680364,0.35908144286900967
ote1vfieur,482,289,193,4,104,103,1.4626648991412767,1.5041363163015706,1.2264795543943543,-0.2563025585983934,4,7.8477508650519034,0.007847750865051904,6,15.668393782383419,0.015668393782383425,1.702928431815751,2.121522630964006,1.9122255313898786,1.2264795543943543
asmlnleur,790,474,316,4,188,115,1.4480646684799638,2.4111715013966206,0.9200644817006856,-0.24188138801037629,5,5.848101265822785,0.005848101265822786,5,7.974683544303797,0.0079746835443038,1.8686254177610169,2.3576748589797174,2.1131501383703672,0.9200644817006856
alleususd,591,354,237,13,140,100,1.4326941238416702,0.6547526774524026,0.4312262833517635,-0.13717662592082785,4,6.40677966101695,0.00640677966101695,2,4.253164556962026,0.004253164556962025,1.3895917622438863,-0.14169192952711554,-0.9073337754126164,0.4312262833517635
rtxususd,698,418,280,31,170,166,1.4257805173815499,0.6047338124780861,0.32993824682973694,-0.10300766660114075,3,4.220095693779904,0.004220095693779904,1,2.6999999999999997,0.0027,1.6510152652543215,-0.07833569085835272,-0.9430111689146898,0.32993824682973694
cahususd,712,427,285,4,167,145,1.3776537741323969,0.7118113871283016,0.37333743678291587,-0.2167708732548591,5,6.491803278688525,0.006491803278688526,1,2.6526315789473687,0.0026526315789473687,1.1456303183200063,1.7237256671108514,1.4346779927154287,0.37333743678291587
etnususd,506,303,203,13,185,187,1.3653458403483196,0.5670299453376295,0.45292268092022847,-0.26519527317047314,3,4.99009900990099,0.00499009900990099,2,6.206896551724138,0.006206896551724138,3.6324015838883614,-0.24781475277289217,-2.1879229211035187,0.45292268092022847
elususd,622,373,249,25,116,100,1.3630488046371867,0.415889798808581,0.26484114359655586,-0.1344963935989239,3,4.053619302949062,0.004053619302949061,1,3.036144578313253,0.003036144578313253,1.644499660965492,3.0018494769547757,2.323174568960134,0.26484114359655586
alkususd,545,327,218,16,146,106,1.290104114245513,0.4206477112572584,0.3107276226126485,-0.18650117327405208,4,6.1651376146788985,0.006165137614678899,3,6.935779816513761,0.0069357798165137615,0.8903674488598475,2.8345099172137034,1.8624386830367754,0.3107276226126485
knxususd,664,398,266,19,170,169,1.2760902080758987,0.30276432399411446,0.1823039364686423,-0.09885578806308624,3,4.432160804020101,0.004432160804020101,2,3.789473684210526,0.003789473684210526,1.1458663056179805,-0.33153727539263134,-1.0702390658979373,0.1823039364686423
0388hkhkd,658,394,264,10,107,103,1.2516896718046395,0.4451284523026833,0.265538006727873,-0.21754916171296046,5,6.395939086294416,0.006395939086294418,2,3.818181818181818,0.0038181818181818182,1.2552804451497175,1.7432325566012752,1.4992565008754963,0.265538006727873
kmiususd,1044,626,418,10,140,100,1.2472123487377595,1.0713939408072641,0.3406438485106682,-0.20436439210252855,5,4.02555910543131,0.004025559105431311,4,4.822966507177033,0.004822966507177034,1.437500187393806,1.3389540467107197,1.2896809763691766,0.3406438485106682
arususd,533,319,214,34,137,115,1.2391672192457868,0.7303097099350895,0.5420923146841929,-0.42412372139459936,4,6.3197492163009406,0.006319749216300941,1,3.532710280373832,0.003532710280373832,1.5687993755630234,1.5407388613740047,1.5267086042794955,0.5420923146841929
kerfreur,518,310,208,37,182,178,1.2181309993768974,0.7380574670807398,0.5672883564332545,-0.21721754282155628,2,4.064516129032258,0.004064516129032258,1,3.634615384615385,0.003634615384615385,1.0986765376015286,4.145518905916539,2.622097721759034,0.5672883564332545
amgnususd,733,439,294,7,101,100,1.1871739088255546,0.5608307772482215,0.2911966987033705,-0.14760281491405955,5,5.740318906605922,0.0057403189066059235,8,13.714285714285714,0.013714285714285719,0.7488413884795886,2.647723009332903,1.6982821989062458,0.2911966987033705
umibeeur,748,448,300,10,191,130,1.176901290508328,0.7134207239840666,0.35378129331688735,-0.30776258642562576,5,5.625,0.0056250000000000015,3,5.88,0.00588,1.0457244917223916,0.7713556814364767,0.6341712762935192,0.35378129331688735
allyususd,435,261,174,16,179,178,1.1748987667386748,0.23716653218805894,0.22812051183167648,-0.09150049497949374,4,7.724137931034482,0.007724137931034482,3,8.689655172413794,0.008689655172413793,1.1630556885565217,1.8965685066221092,1.5298120975893155,0.22812051183167648
agsbeeur,696,417,279,13,128,100,1.1100928359164917,0.8424564692572332,0.44671818686063647,-0.11581285938316717,4,4.83453237410072,0.00483453237410072,4,7.225806451612903,0.007225806451612903,1.2178116299282922,1.089420684324321,1.0252252115223355,0.44671818686063647
itwususd,928,556,372,4,107,100,1.0878365505320446,0.6886164342618877,0.2680184317635237,-0.24898504709255995,7,6.345323741007194,0.0063453237410071965,10,13.548387096774192,0.0135483870967742,0.9527104473959882,2.881944020048563,1.9173272337222755,0.2680184317635237
usdhuf,625,375,250,4,173,100,1.0864329385800984,0.25430007385033226,0.16446321252639406,-0.07781700424120266,5,7.3919999999999995,0.007392000000000002,6,13.104,0.013104000000000005,1.4764832333672664,1.4863695852195804,1.4814264092934235,0.16446321252639406
iceususd,791,474,317,4,191,133,1.0714173320437494,0.7215582049946208,0.3348323772013264,-0.17677181584267398,4,4.784810126582278,0.004784810126582279,3,4.769716088328076,0.004769716088328076,0.9859802598162329,4.325941059865844,2.6559606598410386,0.3348323772013264
ampususd,751,450,301,4,191,160,1.07094796120692,1.4960547195453402,0.6690229059985686,-0.290816894244067,4,5.04,0.00504,2,3.3488372093023258,0.003348837209302326,1.0270141776042307,-0.1898789558871572,-0.7983255226328512,0.6690229059985686
bagbgbx,426,255,171,4,146,115,1.0703140441287489,0.4043367139778278,0.39873774340654977,-0.060681629260182855,2,3.9529411764705884,0.003952941176470589,2,7.368421052631579,0.007368421052631579,1.4037693452839723,3.9522312747776964,2.6780003100308343,0.39873774340654977
ebayususd,639,383,256,10,161,118,1.0664351542423531,1.2713601997991733,0.7156281838042324,-0.27654902322560915,6,7.89556135770235,0.007895561357702353,2,3.9375,0.0039375,1.2824671961577472,1.8821518075198989,1.582309501838823,0.7156281838042324
trvususd,609,365,244,7,146,151,1.0624768853309698,0.41568788688556135,0.27124608237117886,-0.10492949035131137,3,4.832876712328767,0.004832876712328767,2,5.163934426229508,0.0051639344262295085,0.8996393643417655,1.482041236807274,1.1908403005745196,0.27124608237117886
teamususd,810,486,324,37,188,187,1.0412080362013665,1.139502533591569,0.4834513439095689,-0.27150918760192116,3,3.6296296296296298,0.00362962962962963,1,2.333333333333333,0.002333333333333333,1.3483257355689287,-0.5950759229531372,-1.56677675221417,0.4834513439095689
