,weight
usdcnh,0.0705806325903351
usdtry,0.05550330732085604
gbpaud,0.039466159347501036
gbpcad,0.03902992736100988
tjxususd,0.027923639646832133
manhususd,0.026828248253137513
chfaed,0.02656446395867683
acfreur,0.02446741886364955
lgengbgbx,0.018916428036822995
knxususd,0.01869258152181554
tdyususd,0.018351882562270272
dhrususd,0.01738075333135408
krususd,0.016608074335899305
nhynonok,0.01630208064477609
elususd,0.016262289413559342
zbhususd,0.015662270169277903
allyususd,0.01521144182099178
azngbgbx,0.01520425031636839
ukgilttrgbp,0.01502674094568592
usdron,0.01478875308944494
usdsek,0.014607161484847501
usdpln,0.01393187930359091
0388hkhkd,0.01387125569420274
bundtreur,0.013492315728917622
hwmususd,0.012236509540137315
rtxususd,0.011908792678741818
bagbgbx,0.011702474621341183
fdsususd,0.011460444646352286
amznususd,0.011399746569708196
swedasesek,0.01134983108435081
alkususd,0.011195597088395709
kerfreur,0.011029195287826922
adiususd,0.010786386844253775
alleususd,0.009396154557118057
lplaususd,0.009360173186825681
cbususd,0.00927878074861514
exrususd,0.008946743096651923
wklnleur,0.008500340237629652
usdhuf,0.008354016411873937
iaggbgbx,0.00784139085679105
amatususd,0.007774688049963222
kbcbeeur,0.007758037504133553
etnususd,0.007720740599049959
cahususd,0.007495333088868257
ote1vfieur,0.007466760157335603
tprususd,0.0068962647108948205
pclnususd,0.006820632459781359
tususd,0.006612849587920676
axtaususd,0.0064160489769599744
agncususd,0.005960079691318798
metususd,0.005826490353868299
iceususd,0.005755796227403044
tlsnsesek,0.004965168110163758
abtususd,0.004824964436525758
aosususd,0.004724759412863453
arususd,0.004631279622433138
vow3deeur,0.004408244659871102
lowususd,0.00422388499429825
usddkk,0.004099316758785915
sjmususd,0.0040953739047433985
algnususd,0.003933991363311542
usdzar,0.003795466051091988
adskususd,0.0037103465430237833
trvususd,0.003627175035935974
twgbgbx,0.0036195977234893474
jciususd,0.003573118600752323
ebayususd,0.0035249455065975315
gbridxgbp,0.003504060895269608
ulvrgbgbx,0.003407694496284127
umibeeur,0.0033757465891018842
tscogbgbx,0.003342708682479807
maerskbdkdkk,0.0032639823021746476
lenususd,0.003261118607814045
pbrususd,0.003261116988416498
agsbeeur,0.003204377206048211
isrgususd,0.0030239493793356455
dhiususd,0.00296899519632346
mmmususd,0.002935821095709555
halususd,0.002866860703755169
hcnususd,0.0027939894376443957
cvxususd,0.002792148140855951
maususd,0.002629959312425579
phianleur,0.0025623715421513576
biibususd,0.0025127644908078638
asmlnleur,0.0024540464385462172
masiususd,0.0023717243461503857
mdlzususd,0.002331520770487465
