rf_n_estimators,rf_max_depth,rf_min_samples_leaf,ml_target_exposure,hmm_n_states,ml_threshold_used,train_avg_exposure,test_avg_exposure,train_total_return,train_annualized_return,train_annualized_volatility,train_sharpe_ratio,train_max_drawdown,test_total_return,test_annualized_return,test_annualized_volatility,test_sharpe_ratio,test_max_drawdown
400,4,20,0.1,2,0.45934851058812454,0.09999946838706396,0.08278368143059865,0.044901699241295834,0.004394950090936156,0.001961438040659062,2.240677502848579,-0.0021822760810517455,0.017293101585822868,0.00213274937469099,0.001774567201244643,1.2018419889622245,-0.002586966897630555
200,4,80,0.1,2,0.4583294775329796,0.10000179320179449,0.0814099790615771,0.04577456308167638,0.004478688277056886,0.0020141851228864427,2.223573308216411,-0.001792512892206193,0.017801636952492705,0.0021949848291562546,0.0018286553098156811,1.2003272663657414,-0.0025756684671297365
400,4,20,0.15,2,0.4253411881902228,0.15000027757509624,0.13032385313296319,0.06522623124574478,0.006328648012004834,0.002750686036482553,2.300752586106704,-0.0027839663855381827,0.02489081320253428,0.003059746927631224,0.002563870744019329,1.1934091977017998,-0.003769284446550598
400,4,20,0.1,3,0.4595500087056189,0.10000095723788413,0.08481105631437143,0.0389158798993503,0.0038189981318883515,0.001600215990079736,2.3865516627527623,-0.0021284699988635006,0.016451585858872964,0.0020297033264691233,0.0017038646477733543,1.1912350720590288,-0.0024942530965378234
200,6,20,0.15,4,0.42653261136842946,0.14999990577064834,0.12687891366368387,0.05681384984628024,0.00553234788411161,0.002324164403659802,2.380359958787754,-0.002784335805682377,0.02364977372250565,0.0029087396865159487,0.0024450751677620856,1.1896320100368298,-0.003510717731460325
200,4,40,0.15,4,0.425739768737194,0.15000076007798735,0.12960746298269782,0.055697159431051135,0.0054262154414563835,0.0022152041800756247,2.449532864853631,-0.002540814148912706,0.023916475581031937,0.0029412049635486603,0.0024766027004626593,1.1875966068353263,-0.003853517862444042
200,4,40,0.1,4,0.4599398589897373,0.10000110828137332,0.08154005173619384,0.03771879974770442,0.003703457489645956,0.0015978647946744632,2.3177539814314954,-0.0019195220990085402,0.016178186960644103,0.001996208756769091,0.0016816492855581987,1.1870541461363504,-0.002668935857931976
400,4,40,0.1,4,0.45987128475909234,0.10000098927407067,0.08247951383754053,0.03831706009769187,0.0037612158004438623,0.0016052270241412989,2.3431052080972092,-0.0020379777127201727,0.016413790712590748,0.0020250734480180554,0.0017059779952318336,1.1870454681584908,-0.0027085427201040896
400,4,40,0.15,4,0.4258044179743138,0.15000038117477568,0.13047157161288978,0.05621989747947853,0.00547591006288517,0.00222186436184875,2.464556413483684,-0.0026498377453772794,0.024112832425186914,0.002965102498842187,0.002498553371215081,1.1867277013179098,-0.0038863991970683
400,4,20,0.15,3,0.42573950597608023,0.1500012767438329,0.1326240393641377,0.05755866692314138,0.005603080650689485,0.0022455442136293945,2.495199433919594,-0.0027302910168872717,0.02409131829505684,0.002962484325536918,0.002498339093156065,1.185781519271075,-0.0036758684354969403
400,4,80,0.1,4,0.458561712007986,0.09999980324523929,0.08124079892280657,0.03972768058502307,0.003897283922642103,0.0015849542599451958,2.4589251697250005,-0.0017201533855337359,0.016230908160879576,0.002002668335904012,0.0016906001738235493,1.1845901632523042,-0.002527474073826042
200,4,20,0.15,2,0.4257149838661006,0.15000020236140635,0.12945840445331025,0.06491374959991969,0.006299170485802197,0.0027568544246726885,2.2849122642919655,-0.0027977657350738896,0.024675089700640696,0.0030335096189975097,0.002564168245576844,1.1830384469623916,-0.0038226385437618005
400,4,80,0.1,2,0.45829078398227463,0.10000012731855874,0.0811933489126934,0.045482341273813454,0.004450660988036814,0.0020476312924717108,2.173565624045718,-0.0018193515030764226,0.017229570954687468,0.002124972469730757,0.0017965331239483203,1.1828184192121163,-0.0026135269054045254
200,6,20,0.2,4,0.38820502060162665,0.1999994124151831,0.175549371118799,0.07815490751468834,0.007541485248773849,0.003023120036152741,2.4946033100198144,-0.003383303657510798,0.03121805372765718,0.0038271527254949422,0.003235974031634331,1.1826895667521893,-0.004700405851255521
400,6,20,0.15,4,0.42637068644461573,0.15000230117952013,0.12928072187771972,0.05738375309851196,0.005586473704290551,0.002297680164171968,2.4313539331544822,-0.0028869810028121514,0.023847783668646816,0.002932843892795578,0.0024818464268292315,1.181718522585031,-0.003713063003432733
200,4,20,0.1,2,0.4598124100121913,0.1000001387382431,0.08176866363551903,0.04442829688756045,0.004349507899948701,0.0019705979328842487,2.207202102147028,-0.002194840953415331,0.017041757889496356,0.002101979428832168,0.001779737665055761,1.1810613834294004,-0.002639613622371456
200,4,20,0.15,4,0.4260249531708269,0.1500000557423807,0.12961682990802398,0.05567765789125079,0.005424361079296336,0.002217488803322677,2.446172928209826,-0.0026961895985247643,0.023618307401246375,0.0029049088428489966,0.0024634624778806847,1.1791975193176427,-0.0036880981876126636
200,4,80,0.1,4,0.45865318749299144,0.09999892547139735,0.08053907350122637,0.03961667832791216,0.003886582696494223,0.0015926974911577385,2.440251659886178,-0.0017606321557714257,0.016171577083703648,0.0019953988716647775,0.0016952476424374062,1.1770545032558297,-0.0026188250956102077
400,4,80,0.15,4,0.42301251955946095,0.15000974406440487,0.12859656806372702,0.06035590952756076,0.0058683255239271315,0.0023007381260661745,2.5506273214852375,-0.0023752856680900663,0.02423021814357096,0.0029793869668441886,0.002531512894963011,1.1769195301245825,-0.0037611676338303607
400,4,20,0.15,4,0.4259100123050392,0.15000128488979567,0.13144763851277624,0.05637779857198244,0.005490916736275331,0.002219777809520746,2.4736334928318024,-0.0026765359280811235,0.023564061979459705,0.0028983045325412515,0.002463138062504839,1.1766715705711919,-0.0037581597203002358
200,4,40,0.2,4,0.38775062187359255,0.20000178919816322,0.17800628871725593,0.07601654241923761,0.007341792260945557,0.0028809572180401614,2.5483864234332443,-0.0031613953045240965,0.03152551709037632,0.003864338574568249,0.0032845778086921635,1.176509980777996,-0.005013619911250322
400,4,40,0.2,4,0.3878254439985267,0.20000021851026134,0.17878395729212923,0.07589854643573313,0.007330762711940331,0.0028690596968508016,2.5551098570681114,-0.003251411088692422,0.03171313231070716,0.003887024741525247,0.0033057959097533116,1.1758211479592846,-0.005043638218946941
400,4,40,0.15,2,0.42523272977628035,0.1499988954251774,0.1287743708947168,0.06390278972328511,0.00620374960402903,0.0027628497113542307,2.2454169615285435,-0.002788910886845579,0.024334977725104956,0.0029921337711500406,0.002546134169149934,1.1751673605436945,-0.003975449073199442
400,4,40,0.1,2,0.45934703925423503,0.09999882572855234,0.08114135118168307,0.04372036333486773,0.004281518304689813,0.00196885181508602,2.174626994212234,-0.0021856367367326874,0.016686882905001754,0.0020585236562711273,0.0017532018946578465,1.174150942081241,-0.0028027108092710273
400,4,20,0.2,2,0.3872219846728603,0.1999985830679311,0.17848315828651395,0.08601304196361004,0.00827227421099952,0.003555151727757554,2.3268413965041472,-0.003378758904693268,0.032295550720619515,0.003957426943150599,0.0033705731972510085,1.174110963197067,-0.0049377804668057045
400,4,20,0.2,3,0.3878922427089947,0.20000158389550465,0.1810363832121247,0.07793032863772287,0.007520529528717956,0.002928665201923993,2.567903468029506,-0.003324835178533561,0.03163730967088996,0.0038778568102479927,0.0033067153251670808,1.1727216977929764,-0.004841958165012794
200,4,20,0.15,3,0.4257350646585929,0.14999890996474902,0.13184635043836013,0.05699079766354154,0.005549156084780016,0.0022436012767745412,2.473325426502531,-0.0027114730791537303,0.023756335416245333,0.002921712194025927,0.0024921268908707724,1.1723769783668814,-0.0037082621414630756
200,4,20,0.2,4,0.3880822205496315,0.20000004331148616,0.1779800257012184,0.07614195910155575,0.007353514258339855,0.002881913661765692,2.5516081053706867,-0.0032945418812741923,0.031248027715385263,0.003830778326587625,0.003268897756000205,1.171886859892165,-0.004857903533329426
400,6,20,0.2,4,0.3881323934395642,0.20000223547384785,0.17781946604365156,0.07864637862402746,0.007587331293174238,0.0030066673686887564,2.5235020581884866,-0.0034780210182014265,0.03132069562434059,0.0038395677266043204,0.003278036938892704,1.171300933509705,-0.004887645368953385
200,4,80,0.15,4,0.42312501049037565,0.14999856018447696,0.12790363122737988,0.06053564486076368,0.005885347147911224,0.0023386925648288953,2.516511676831628,-0.0024129900789549704,0.024136224342656387,0.002967949135802561,0.0025344615124175567,1.1710373668178184,-0.003846806737769434
200,6,40,0.2,4,0.38785101214471973,0.1999983446710036,0.17621612208673207,0.07711793762230679,0.007444691528006864,0.002964107480426899,2.5116132182003934,-0.0032662401063756064,0.03085142914236294,0.00378279898776257,0.0032348370334882998,1.1693939906714166,-0.0050165264311349215
200,4,20,0.1,4,0.46013735745088513,0.1000004339529316,0.08146057741733863,0.03767570289720168,0.0036992955998427224,0.0016068319596263183,2.3022292889313847,-0.002086167401528017,0.015879390495378676,0.0019595936606755515,0.00167600520036215,1.1692050002303835,-0.0024962121362256213
400,4,20,0.2,4,0.38800422046938376,0.20000162286266934,0.1797542578338447,0.07690295716479256,0.007424614143166863,0.0028936805183567226,2.5658029958964472,-0.003275453527665314,0.03117702966009217,0.0038221903764890097,0.003269273748885552,1.169125215590141,-0.004921732897735091
200,4,20,0.1,3,0.4595548184296877,0.09999964573336631,0.08392420069067415,0.038238569985612925,0.003753639776523876,0.0016000593945888803,2.3459377753213575,-0.002108302816412608,0.01609871294446208,0.001986470777769256,0.001699882880178931,1.1685927312593196,-0.0025282329073918696
200,6,20,0.15,3,0.4261041272920283,0.1499991686747165,0.13027970072556022,0.05778070151706216,0.00562415785117043,0.0023437763247055247,2.399613731006118,-0.0029249036062589926,0.02392026531159641,0.002941666229251183,0.002517591644470735,1.1684445472766891,-0.0036790522119833275
200,6,40,0.15,4,0.42623488456217273,0.14999782284122334,0.1273999948422066,0.055724949826771564,0.005428857920960706,0.0022474308316077214,2.415583983546724,-0.0026587999243072955,0.023109928096982646,0.002843002288966945,0.0024334110337029266,1.1683197986658023,-0.0038451666622040925
400,4,20,0.1,4,0.4598934692911917,0.10000183106420989,0.08341032658405237,0.03840267016550136,0.003769478469087151,0.0016086400089638999,2.3432703700531565,-0.002067850454329576,0.015852483873339818,0.001956296008368108,0.001675472777403514,1.1676083519541194,-0.0025757062533824076
400,4,80,0.15,2,0.42281263258949364,0.14999934528071146,0.1280760243107399,0.0661743202266285,0.006418037070669236,0.002875782657587164,2.231753172909837,-0.0024668108551159943,0.02503698874763849,0.00307752273738493,0.0026361783896450297,1.1674182405384672,-0.0038400009604609682
400,6,80,0.1,4,0.4601064217468136,0.10001675118756115,0.0798688646662421,0.03936113323043666,0.0038619428381116983,0.0015883875698300156,2.431360526527535,-0.0016673110073244497,0.016172331437056542,0.0019954913001760666,0.0017095798644331628,1.1672407599616308,-0.0025353409004311924
200,4,80,0.15,2,0.42284998433607135,0.15000252253864071,0.12829870280997963,0.06647194196861794,0.006446083106204092,0.002844796131482993,2.265920933618448,-0.0024417015033537967,0.02534998845078218,0.0031155778855174177,0.002670231650382216,1.1667818726781458,-0.0038047896648958713
400,4,40,0.2,2,0.3870570461307308,0.19999910255120276,0.17694934603505724,0.08477358051818795,0.008157323890590318,0.003566288290610383,2.2873428129934394,-0.003384119881030416,0.03189840895779561,0.0039094245862494326,0.003354716685530387,1.165351638518871,-0.0051310971385120484
400,6,80,0.15,4,0.4232217115163167,0.1500002254784994,0.12720058843941556,0.060818750980177416,0.005912153115336771,0.0023340308910790664,2.533022651042751,-0.0023758965810178824,0.024366746416002005,0.0029959990562782313,0.0025723584873558122,1.1646895527994192,-0.003840856686384911
200,4,40,0.15,3,0.42525225540709466,0.15000063524020715,0.12927617615118098,0.056768577034567835,0.005528047031281735,0.0022260445173774026,2.4833497210534503,-0.0025962125570181812,0.02325144788380662,0.002860238194397624,0.00245596867255174,1.1646069538117723,-0.0038536252861058992
200,4,20,0.2,3,0.38789584562596247,0.19999937342052093,0.18031953036668538,0.07681875986490372,0.007416749833143221,0.0029108947733254916,2.547927840301183,-0.003307059093750921,0.03131612463778599,0.0038390148681515246,0.003299508065739753,1.1635112846104874,-0.004873220818216324
200,4,80,0.2,4,0.38337457952521614,0.19999874563495113,0.1756064292871269,0.08161383313643644,0.00786374636839171,0.003151268403698392,2.495422592110104,-0.003105868669824606,0.03201267009585673,0.003923236939225694,0.003378477221338654,1.161244158890966,-0.005052581470027775
200,4,20,0.2,2,0.38761513026861383,0.20000035836572927,0.177655192411668,0.08571502258161257,0.008244646040370007,0.003558940103002791,2.316601516674511,-0.003391773132554581,0.031904165026842124,0.003910120435418163,0.003368995734856208,1.1606189924681072,-0.004987891303829115
400,6,40,0.2,4,0.38786984231802313,0.19999904007613303,0.1777207929879139,0.07692093603543615,0.007426293358235192,0.002919356431072045,2.5438118070112155,-0.003315436248462428,0.030987160579694084,0.003799221200456504,0.0032742811674630287,1.1603222222360972,-0.005165261509513358
400,4,80,0.2,4,0.38335145300158713,0.20000128403828235,0.1761936026177468,0.08142215362565497,0.007845912271759126,0.0030989809599478698,2.531771693070069,-0.0030443050870118246,0.031909069943430346,0.00391071338638227,0.0033752423533524424,1.1586466916954787,-0.0049697815563303285
400,6,20,0.15,3,0.4262184956780857,0.14999995801711702,0.1305041703398876,0.05792336360076633,0.0056376983121682045,0.002335819147822845,2.4135851088569735,-0.002838013113648047,0.02318599577911895,0.0028522669446662263,0.0024620008561906585,1.1585158215904965,-0.0038283674055330542
400,4,40,0.15,3,0.42525581846580274,0.15000136539112924,0.13066714807399515,0.05717529417054168,0.005566678635346323,0.0022426170288878684,2.482224367174668,-0.0026264934379519062,0.023097904994470175,0.0028415378811978975,0.002454638843082351,1.1576195370679083,-0.003861444489679308
400,6,40,0.15,4,0.42612321017430976,0.14999946437012693,0.12919596829161611,0.055770344331672383,0.00543317417134781,0.0022360057855827582,2.4298569379290718,-0.002713484679403771,0.02326667135363336,0.002862092159079177,0.0024737621118535633,1.1569795435724586,-0.004007795760373371
